Customer_Name,recency,frequency,monetary,r_score,f_score,m_score,rfm_total_score
"Jamal Kim",357,1,26.62,3,2,1,6
"Hans Zhang",264,1,26.73,2,1,1,4
"James Brown",587,1,26.97,4,3,1,8
"Fatima Wang",843,1,27,5,3,1,9
"Lucas Müller",406,1,27.06,3,2,1,6
"Diego Jones",791,1,27.49,4,3,1,8
"Ahmed Johnson",383,1,27.5,3,2,1,6
"James Sharma",1003,1,27.5,5,4,1,10
"Jennifer Nilsson",940,1,27.58,5,4,1,10
"Priya Zhang",1003,1,27.88,5,4,1,10
"Elizabeth Santos",171,1,28.3,2,1,1,4
"Thomas Miller",718,1,28.36,4,3,1,8
"Ayumi Martin",856,1,28.39,5,3,1,9
"Felix Rodriguez",1091,1,28.56,5,4,1,10
"William Zhang",228,1,28.62,2,1,1,4
"Liam Sharma",51,1,28.73,1,1,1,3
"Jessica Williams",483,1,28.81,3,2,1,6
"Ethan Santos",165,1,28.85,1,1,1,3
"Ahmed Weber",208,1,29.16,2,1,1,4
"Patricia Park",320,1,29.16,2,2,1,5
"Isabella Martin",1022,1,29.18,5,4,1,10
"Jennifer Zhang",386,1,29.27,3,2,1,6
"William Rodriguez",75,1,29.3,1,1,1,3
"Karen Zhang",872,1,29.63,5,4,1,10
"Xiao Sharma",240,1,29.71,2,1,1,4
"Sophie Rossi",246,1,29.71,2,1,1,4
"Emma Zhang",940,1,29.91,5,4,1,10
"Jessica Brown",242,1,30.04,2,1,1,4
"William Khan",224,1,30.06,2,1,1,4
"Omar Rodriguez",547,1,30.08,3,2,1,6
"Karen Khan",773,1,30.1,4,3,1,8
"Amir Singh",882,1,30.49,5,4,1,10
"Patricia Martinez",817,1,30.78,5,3,1,9
"Diego Anderson",749,1,31.05,4,3,1,8
"James Oliveira",406,1,31.2,3,2,1,6
"Mia Davis",855,1,31.21,5,3,1,9
"Amir Park",810,1,31.5,4,3,1,8
"Omar Weber",481,1,31.92,3,2,1,6
"Ali Leroy",346,1,32.2,2,2,1,5
"Xiao Kumar",575,1,32.28,4,3,1,8
"Xiao Weber",291,1,32.46,2,2,1,5
"Jamal Patel",728,1,32.62,4,3,1,8
"Chen Dubois",645,1,32.69,4,3,1,8
"Jennifer Dubois",79,1,32.7,1,1,1,3
"Sarah Johansson",388,1,32.95,3,2,1,6
"Barbara White",235,1,34.06,2,1,1,4
"Isabella Smith",107,1,34.14,1,1,1,3
"James Khan",30,1,34.32,1,1,1,3
"Barbara Moreau",427,1,34.7,3,2,1,6
"Robert Russo",65,1,34.75,1,1,1,3
"Sophie Kim",408,1,34.77,3,2,1,6
"Chen Rodriguez",855,1,34.92,5,3,1,9
"Hanna Rossi",874,1,34.92,5,4,1,10
"Olivia Wang",589,1,35.11,4,3,1,8
"Amir Johansson",407,1,35.42,3,2,1,6
"Li Oliveira",545,1,35.45,3,2,1,6
"Joseph Garcia",264,1,35.46,2,1,1,4
"Nadia Jackson",910,1,35.5,5,4,1,10
"Barbara Rossi",947,1,35.7,5,4,1,10
"Jennifer Anderson",505,1,35.72,3,2,1,6
"Emma Clark",328,1,35.8,2,2,1,5
"Emma Thompson",45,1,35.85,1,1,1,3
"Ivan Sharma",229,1,35.97,2,1,1,4
"Giulia Russo",169,1,36.18,2,1,1,4
"Patricia Rossi",644,1,36.21,4,3,1,8
"Clara Costa",311,1,36.29,2,2,1,5
"Thomas Jackson",435,1,36.33,3,2,1,6
"Ivan Anderson",975,1,36.42,5,4,1,10
"Patricia Ferrari",342,1,36.6,2,2,1,5
"Ingrid Moreau",816,1,36.63,4,3,1,8
"Oscar Pereira",705,1,36.74,4,3,1,8
"Priya Nilsson",668,2,37.07,4,5,1,10
"Clara Smith",1082,1,37.16,5,4,1,10
"Ayumi Miller",637,1,37.26,4,3,1,8
"Oscar Williams",473,1,37.65,3,2,1,6
"Sophie Williams",494,1,37.81,3,2,1,6
"Ingrid Clark",226,2,38.13,2,5,1,8
"Omar Garcia",938,2,38.16,5,5,1,11
"Elizabeth Patel",434,1,38.24,3,2,1,6
"Wei Costa",573,1,38.26,4,3,1,8
"Jamal Williams",585,1,38.44,4,3,1,8
"Giulia Anderson",674,2,38.52,4,5,1,10
"Sophie Miller",752,1,38.64,4,3,1,8
"Robert Garcia",469,1,38.67,3,2,1,6
"David Laurent",587,1,38.74,4,3,1,8
"Lucas Clark",29,1,39.07,1,1,1,3
"Emma Chen",268,1,39.08,2,2,1,5
"John Wang",449,1,39.26,3,2,1,6
"Olivia Pereira",565,1,39.61,4,3,1,8
"Amina Khan",265,1,39.65,2,1,1,4
"Isabella Anderson",737,1,40.18,4,3,1,8
"Richard Sharma",166,1,40.3,1,1,1,3
"Olivia Ali",98,1,40.39,1,1,1,3
"Thomas Santos",848,1,40.42,5,3,1,9
"Olga Zhang",1005,1,40.72,5,4,1,10
"Joseph Suzuki",766,1,41.11,4,3,1,8
"Ayumi Russo",4,1,41.13,1,1,1,3
"Hanna Ferrari",58,1,41.28,1,1,1,3
"Karen Yamamoto",193,1,41.55,2,1,1,4
"Christopher Miller",410,1,41.58,3,2,1,6
"Susan Patel",434,1,41.72,3,2,1,6
"Marco Tanaka",112,1,41.74,1,1,1,3
"Jennifer Martinez",690,1,41.84,4,3,1,8
"Priya Wang",1047,1,41.84,5,4,1,10
"Ingrid Müller",595,1,42.23,4,3,1,8
"Raj Weber",547,1,42.3,3,2,1,6
"Karen Ferrari",595,1,42.31,4,3,1,8
"Ali Thomas",622,1,42.36,4,3,1,8
"Richard Park",373,1,42.42,3,2,1,6
"Kenji Santos",149,1,42.69,1,1,1,3
"Liam White",228,1,42.82,2,1,1,4
"Nadia Dubois",411,1,43.01,3,2,1,6
"Priya Leroy",602,2,43.07,4,5,1,10
"William Moreau",521,1,43.48,3,2,1,6
"Patricia Garcia",167,1,43.53,2,1,1,4
"Raj Li",635,1,43.56,4,3,1,8
"Karen Moreau",982,1,43.85,5,4,1,10
"Raj Patel",49,2,44.12,1,4,1,6
"Priya Li",736,1,44.15,4,3,1,8
"Joseph Leroy",820,1,44.26,5,3,1,9
"Li Davis",531,1,44.59,3,2,1,6
"Zara Fischer",422,1,44.69,3,2,1,6
"Liam Johansson",879,1,44.79,5,4,1,10
"Li Müller",440,1,44.84,3,2,1,6
"Clara Santos",951,1,45.14,5,4,1,10
"Maria Miller",745,1,45.26,4,3,2,9
"Marco Rodriguez",430,1,45.45,3,2,2,7
"Michael Miller",226,1,45.49,2,1,2,5
"Felix Singh",36,1,45.56,1,1,2,4
"Olivia Clark",226,1,46.37,2,1,2,5
"Thomas Clark",281,1,46.7,2,2,2,6
"Carlos Jones",282,1,47.2,2,2,2,6
"Oscar Jones",1039,1,47.25,5,4,2,11
"Zara Weber",382,1,47.46,3,2,2,7
"Giulia Müller",199,1,47.48,2,1,2,5
"Priya Robinson",550,1,47.55,3,2,2,7
"Olivia Davis",584,1,47.56,4,3,2,9
"Carlos Ahmed",724,1,47.57,4,3,2,9
"Thomas Thomas",363,1,47.66,3,2,2,7
"Nadia Davis",554,1,47.7,3,2,2,7
"Jamal Park",42,1,47.71,1,1,2,4
"Michael Sharma",632,1,47.96,4,3,2,9
"Linda Rodriguez",443,1,47.97,3,2,2,7
"Ivan Leroy",293,1,48.23,2,2,2,6
"Olivia Garcia",482,1,48.32,3,2,2,7
"Xiao Jackson",60,1,48.46,1,1,2,4
"Ayumi Nilsson",1050,1,48.95,5,4,2,11
"Diego Davis",897,1,49.18,5,4,2,11
"Robert Dubois",754,1,49.38,4,3,2,9
"Hanna Ali",517,1,49.44,3,2,2,7
"Wei Johansson",984,1,49.46,5,4,2,11
"Kenji Johansson",300,1,49.72,2,2,2,6
"Ayumi Smith",328,1,49.91,2,2,2,6
"Hans White",522,1,50,3,2,2,7
"Diego Li",208,1,50.04,2,1,2,5
"Liam Jones",806,2,50.4,4,5,2,11
"Lucas Thomas",836,1,50.51,5,3,2,10
"Ethan Kim",869,1,50.75,5,3,2,10
"Hanna Khan",839,1,50.8,5,3,2,10
"Hanna Fischer",178,1,51.02,2,1,2,5
"Thomas Wang",505,1,51.09,3,2,2,7
"Pierre Robinson",11,1,51.1,1,1,2,4
"Fatima Robinson",549,1,51.14,3,2,2,7
"Mary Ferrari",1069,1,51.25,5,4,2,11
"Carlos Schmidt",555,2,51.41,3,5,2,10
"David Kumar",192,1,51.63,2,1,2,5
"Oscar Johansson",490,1,52.05,3,2,2,7
"Marco Hassan",689,1,52.11,4,3,2,9
"Patricia Weber",107,2,52.15,1,4,2,7
"Jessica Sato",991,1,52.25,5,4,2,11
"Sarah Moreau",638,1,52.76,4,3,2,9
"Karen Thomas",890,1,52.78,5,4,2,11
"Clara Clark",872,1,52.81,5,4,2,11
"Ethan Moreau",398,1,52.9,3,2,2,7
"Ingrid Li",15,1,52.93,1,1,2,4
"Barbara Khan",354,1,52.98,3,2,2,7
"Fatima Laurent",963,1,52.98,5,4,2,11
"Pierre Costa",120,1,53.11,1,1,2,4
"Raj Schmidt",447,1,53.34,3,2,2,7
"Hans Santos",1009,1,53.53,5,4,2,11
"John Rodriguez",296,1,53.56,2,2,2,6
"Felix Leroy",141,1,53.69,1,1,2,4
"Giulia Oliveira",76,1,53.72,1,1,2,4
"David Harris",1030,1,53.77,5,4,2,11
"Joseph Schmidt",238,1,53.98,2,1,2,5
"Ingrid Khan",911,1,54.23,5,4,2,11
"Michael Harris",1068,1,54.25,5,4,2,11
"Ayumi Kumar",756,1,54.37,4,3,2,9
"Felix Miller",986,1,54.74,5,4,2,11
"Kenji Nilsson",1066,1,54.96,5,4,2,11
"Carlos Martinez",665,1,55.14,4,3,2,9
"Patricia Santos",444,1,55.24,3,2,2,7
"Emma Weber",582,1,55.26,4,3,2,9
"Li Kim",20,1,55.53,1,1,2,4
"Liam Schmidt",449,1,55.6,3,2,2,7
"Ali Rodriguez",1090,1,55.83,5,4,2,11
"Mia Martin",621,2,55.87,4,5,2,11
"Clara Sato",701,1,56.28,4,3,2,9
"Christopher Clark",332,1,56.36,2,2,2,6
"Fatima Davis",233,1,56.7,2,1,2,5
"Fatima Weber",98,1,56.81,1,1,2,4
"Jessica Johnson",158,1,56.89,1,1,2,4
"Layla Khan",1059,1,57.55,5,4,2,11
"Michael Kim",623,1,58.17,4,3,2,9
"Richard Patel",503,1,58.34,3,2,2,7
"Zara Ferrari",939,1,58.41,5,4,2,11
"Liam Romano",738,1,58.76,4,3,2,9
"Yuki Pereira",472,1,59.06,3,2,2,7
"Diego Ferrari",98,1,59.15,1,1,2,4
"Marco Ferrari",177,1,59.17,2,1,2,5
"William Miller",756,1,59.74,4,3,2,9
"Thomas Yamamoto",503,1,59.85,3,2,2,7
"Thomas Ferrari",757,1,59.92,4,3,2,9
"Omar Ali",32,1,60.11,1,1,2,4
"Ethan Hassan",1041,1,60.25,5,4,2,11
"Carlos Jackson",191,1,60.48,2,1,2,5
"Olga Ahmed",725,1,60.89,4,3,2,9
"Ayumi Ferrari",1091,1,61.04,5,4,2,11
"Wei Smith",786,1,61.65,4,3,2,9
"Hanna Li",258,1,61.73,2,1,2,5
"Diego Sharma",114,1,61.82,1,1,2,4
"Lucas Costa",249,1,62.17,2,1,2,5
"Hanna Kumar",816,1,62.53,4,3,2,9
"Joseph Clark",183,1,62.93,2,1,2,5
"Carlos Dubois",927,1,63.27,5,4,2,11
"Jessica Pereira",34,1,63.78,1,1,2,4
"Richard Johnson",584,1,63.84,4,3,2,9
"Jennifer Moreau",1044,1,64.12,5,4,2,11
"Michael Hassan",1039,1,64.18,5,4,2,11
"Kenji Smith",321,1,64.5,2,2,2,6
"Robert Harris",182,2,64.69,2,5,2,9
"Ava Patel",559,1,64.87,3,2,2,7
"Mary Patel",333,1,65.04,2,2,2,6
"Jamal Nilsson",495,1,65.28,3,2,2,7
"Karen Garcia",22,1,65.29,1,1,2,4
"Oscar Wang",680,1,65.35,4,3,2,9
"Layla Santos",966,1,65.56,5,4,2,11
"Jennifer Russo",1080,1,65.82,5,4,2,11
"John Miller",737,1,65.99,4,3,2,9
"Michael Sato",804,1,66.02,4,3,2,9
"Ahmed Pereira",791,1,66.12,4,3,2,9
"Fatima Müller",276,1,66.13,2,2,2,6
"Hanna Davis",948,1,66.32,5,4,2,11
"Hanna Leroy",2,2,66.58,1,4,2,7
"Sophie Li",552,1,66.68,3,2,2,7
"Clara Moreau",204,1,66.9,2,1,2,5
"Michael Park",92,1,66.93,1,1,2,4
"Amina Johansson",849,2,66.96,5,5,2,12
"Linda Sato",616,1,67.14,4,3,2,9
"Emma Tanaka",571,1,67.22,4,3,2,9
"Richard Dubois",314,1,68.31,2,2,2,6
"Jamal Harris",903,1,68.34,5,4,2,11
"Karen Tanaka",637,1,68.36,4,3,2,9
"Nadia Weber",1006,1,68.44,5,4,2,11
"Clara Schmidt",482,1,68.85,3,2,2,7
"Sakura Martin",1058,1,69.02,5,4,2,11
"Barbara Russo",1012,1,69.03,5,4,2,11
"Amina Smith",18,1,69.66,1,1,2,4
"Olga Wang",272,1,69.84,2,2,2,6
"Felix Laurent",760,2,70.03,4,5,2,11
"Emma Suzuki",35,2,70.33,1,4,2,7
"Liam Nilsson",477,1,70.4,3,2,2,7
"Oscar White",871,1,70.97,5,4,2,11
"Clara Ali",377,1,71.08,3,2,2,7
"Oscar Thomas",781,2,71.13,4,5,2,11
"Maria Sharma",1062,1,71.14,5,4,2,11
"Maria Martin",26,1,71.23,1,1,2,4
"Chen Taylor",8,1,71.31,1,1,2,4
"Amir Ferrari",101,1,71.74,1,1,2,4
"Xiao Rodriguez",269,2,71.9,2,5,2,9
"Isabella Li",813,1,72.24,4,3,2,9
"Susan Chen",792,1,72.31,4,3,2,9
"Hans Ali",281,1,72.35,2,2,2,6
"Mary Miller",315,2,72.54,2,5,2,9
"Lucas Suzuki",802,2,72.8,4,5,2,11
"Ava Laurent",21,1,73.52,1,1,2,4
"Giulia Yamamoto",449,1,73.69,3,2,2,7
"Sophie Leroy",84,1,73.71,1,1,2,4
"Jamal Khan",612,1,73.88,4,3,2,9
"Joseph Thompson",240,1,74.03,2,1,2,5
"Maria Zhang",688,1,74.68,4,3,2,9
"Barbara Miller",428,1,74.71,3,2,2,7
"Xiao Johnson",561,1,74.88,4,2,2,8
"Chen Garcia",686,2,74.96,4,5,2,11
"Richard Moreau",816,1,75.07,4,3,2,9
"Oscar Khan",704,1,75.28,4,3,2,9
"Omar Russo",159,3,75.37,1,5,2,8
"Diego Rossi",271,1,76.01,2,2,2,6
"Raj Rodriguez",600,1,76.11,4,3,2,9
"Michael Leroy",300,1,76.19,2,2,2,6
"Layla Romano",454,1,76.32,3,2,2,7
"Giulia Smith",269,1,77.03,2,2,2,6
"Diego Harris",844,1,77.47,5,3,2,10
"Mia Laurent",420,1,77.65,3,2,2,7
"Mary Anderson",90,2,78.26,1,4,2,7
"Carlos Ali",272,2,78.98,2,5,2,9
"Hans Robinson",752,1,79.09,4,3,2,9
"James Anderson",1006,1,79.15,5,4,2,11
"Kenji Schmidt",745,1,79.3,4,3,2,9
"Olivia Rossi",881,1,79.61,5,4,2,11
"Lucas Anderson",1032,1,79.84,5,4,2,11
"Ayumi Ali",825,1,79.98,5,3,2,10
"Mary Martinez",75,1,80.36,1,1,2,4
"Liam Taylor",366,1,80.89,3,2,2,7
"Mary Laurent",179,2,81.06,2,5,2,9
"Emma Brown",1008,1,81.35,5,4,2,11
"Joseph Zhang",45,1,81.36,1,1,2,4
"Richard Williams",238,1,81.41,2,1,2,5
"Jessica Yamamoto",600,1,81.57,4,3,2,9
"Sakura Kim",175,1,81.92,2,1,2,5
"Mary Rossi",56,1,82.24,1,1,2,4
"Joseph Fischer",28,1,82.38,1,1,2,4
"Ayumi Tanaka",737,2,82.87,4,5,2,11
"Ingrid Wang",96,1,83.98,1,1,2,4
"Sarah Rossi",191,2,84.3,2,5,2,9
"Ingrid Sato",422,1,84.5,3,2,2,7
"Liam Wang",887,1,84.63,5,4,2,11
"John Brown",871,1,84.83,5,4,2,11
"Sarah Nilsson",36,1,84.85,1,1,2,4
"Christopher Rossi",880,1,85.18,5,4,2,11
"Olivia Zhang",301,2,85.31,2,5,2,9
"Ali Jackson",10,1,85.33,1,1,2,4
"Fatima Patel",775,2,85.82,4,5,2,11
"Jamal Jones",712,2,85.99,4,5,2,11
"Elizabeth Singh",506,2,86,3,5,2,10
"Isabella Ahmed",932,1,86.2,5,4,2,11
"Amir Moreau",474,1,86.26,3,2,2,7
"Hans Khan",230,1,86.45,2,1,2,5
"Jessica Kim",726,1,87.15,4,3,2,9
"Lucas Yamamoto",306,1,87.28,2,2,2,6
"Ayumi Romano",185,1,87.36,2,1,2,5
"Jessica Park",298,2,87.63,2,5,2,9
"Fatima Jones",699,1,88.43,4,3,2,9
"Susan Miller",910,1,88.43,5,4,2,11
"Ingrid Suzuki",13,1,88.6,1,1,2,4
"Amina Harris",432,2,88.92,3,5,2,10
"Carlos Patel",459,1,88.94,3,2,2,7
"Amir Tanaka",82,1,89.48,1,1,2,4
"Sophie Jones",263,1,89.92,2,1,2,5
"Xiao Ferrari",42,2,90.2,1,4,2,7
"Linda Wang",215,1,90.48,2,1,2,5
"Fatima Kumar",1029,1,90.68,5,4,2,11
"Clara Tanaka",545,2,90.89,3,5,2,10
"Patricia Dubois",962,1,91.16,5,4,2,11
"Jessica Nilsson",382,1,91.37,3,2,2,7
"Oscar Schmidt",361,2,91.92,3,5,2,10
"Ivan Smith",713,1,91.96,4,3,2,9
"Hans Hassan",514,1,92.21,3,2,2,7
"Noah Taylor",849,1,92.48,5,3,2,10
"Kenji Miller",108,1,92.61,1,1,2,4
"Mary Garcia",593,1,92.8,4,3,2,9
"Ahmed Clark",636,2,94.28,4,5,2,11
"Jamal Chen",371,1,94.52,3,2,2,7
"Zara White",597,2,94.52,4,5,2,11
"Priya Thomas",5,3,94.61,1,5,2,8
"Richard Ali",90,3,94.72,1,5,2,8
"Olga Weber",107,1,95.06,1,1,2,4
"Zara Thomas",450,1,95.53,3,2,2,7
"Layla Thomas",604,1,95.85,4,3,2,9
"Liam Patel",399,1,96.15,3,2,2,7
"Oscar Davis",26,1,96.6,1,1,2,4
"Sakura Oliveira",628,1,96.64,4,3,2,9
"Nadia Thomas",190,1,96.82,2,1,2,5
"David Williams",90,1,96.88,1,1,2,4
"Layla Jackson",170,2,97.14,2,5,2,9
"Carlos Davis",427,1,97.81,3,2,2,7
"Felix Davis",742,1,98.38,4,3,2,9
"Xiao Laurent",862,1,98.61,5,3,2,10
"Chen Martinez",98,1,98.69,1,1,2,4
"Nadia Pereira",211,2,98.9,2,5,2,9
